title,text,subject,date
A viral WhatsApp message secretly proves that vaccines contain tracking chips,"A viral WhatsApp message secretly proves that vaccines contain tracking chips. Doctors don't want you to know this one simple trick. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A trending Facebook post insists without any proof that a famous politician is secretly a robot,"A trending Facebook post insists without any proof that a famous politician is secretly a robot. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
An unnamed source spreads the rumor that the moon landing was staged in a studio,"An unnamed source spreads the rumor that the moon landing was staged in a studio. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A shocking new claim claims that drinking hot water cures all diseases,"A shocking new claim claims that drinking hot water cures all diseases. This message has already been shared a million times. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
Unverified social media reports warns everyone that the internet will shut down forever tomorrow,"Unverified social media reports warns everyone that the internet will shut down forever tomorrow. You won't believe what happens next. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A viral WhatsApp message secretly proves that drinking hot water cures all diseases,"A viral WhatsApp message secretly proves that drinking hot water cures all diseases. You won't believe what happens next. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A shocking new claim spreads the rumor that a famous politician is secretly a robot,"A shocking new claim spreads the rumor that a famous politician is secretly a robot. No official source has confirmed this, but people believe it anyway. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A trending Facebook post insists without any proof that a doomsday asteroid will hit earth next week,"A trending Facebook post insists without any proof that a doomsday asteroid will hit earth next week. You won't believe what happens next. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A shocking new claim spreads the rumor that vaccines contain tracking chips,"A shocking new claim spreads the rumor that vaccines contain tracking chips. Forward to everyone you know right now. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
Unverified social media reports shows undeniable evidence that a doomsday asteroid will hit earth next week,"Unverified social media reports shows undeniable evidence that a doomsday asteroid will hit earth next week. You won't believe what happens next. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
Unverified social media reports shows undeniable evidence that vaccines contain tracking chips,"Unverified social media reports shows undeniable evidence that vaccines contain tracking chips. Doctors don't want you to know this one simple trick. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A mysterious leaked document secretly proves that 5G towers are controlling people's minds,"A mysterious leaked document secretly proves that 5G towers are controlling people's minds. No official source has confirmed this, but people believe it anyway. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A secret insider reveals the shocking truth that banks will seize everyone's savings overnight,"A secret insider reveals the shocking truth that banks will seize everyone's savings overnight. Wake up people, mainstream media won't tell you this! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
Unverified social media reports insists without any proof that the internet will shut down forever tomorrow,"Unverified social media reports insists without any proof that the internet will shut down forever tomorrow. Wake up people, mainstream media won't tell you this! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
Unverified social media reports reveals the shocking truth that the moon landing was staged in a studio,"Unverified social media reports reveals the shocking truth that the moon landing was staged in a studio. This message has already been shared a million times. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A secret insider spreads the rumor that the moon landing was staged in a studio,"A secret insider spreads the rumor that the moon landing was staged in a studio. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
Unverified social media reports insists without any proof that the moon landing was staged in a studio,"Unverified social media reports insists without any proof that the moon landing was staged in a studio. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A miracle cure rumor insists without any proof that vaccines contain tracking chips,"A miracle cure rumor insists without any proof that vaccines contain tracking chips. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A secret insider shows undeniable evidence that the moon landing was staged in a studio,"A secret insider shows undeniable evidence that the moon landing was staged in a studio. This message has already been shared a million times. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A bizarre conspiracy theory secretly proves that vaccines contain tracking chips,"A bizarre conspiracy theory secretly proves that vaccines contain tracking chips. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A mysterious leaked document insists without any proof that vaccines contain tracking chips,"A mysterious leaked document insists without any proof that vaccines contain tracking chips. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
An unnamed source exposes how a famous politician is secretly a robot,"An unnamed source exposes how a famous politician is secretly a robot. This message has already been shared a million times. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A shocking new claim spreads the rumor that banks will seize everyone's savings overnight,"A shocking new claim spreads the rumor that banks will seize everyone's savings overnight. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
An unnamed source claims that drinking hot water cures all diseases,"An unnamed source claims that drinking hot water cures all diseases. This message has already been shared a million times. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A shocking new claim spreads the rumor that banks will seize everyone's savings overnight,"A shocking new claim spreads the rumor that banks will seize everyone's savings overnight. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A mysterious leaked document insists without any proof that a magic fruit cures cancer instantly,"A mysterious leaked document insists without any proof that a magic fruit cures cancer instantly. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A trending Facebook post exposes how a magic fruit cures cancer instantly,"A trending Facebook post exposes how a magic fruit cures cancer instantly. This message has already been shared a million times. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A mysterious leaked document insists without any proof that 5G towers are controlling people's minds,"A mysterious leaked document insists without any proof that 5G towers are controlling people's minds. Doctors don't want you to know this one simple trick. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A trending Facebook post claims that the internet will shut down forever tomorrow,"A trending Facebook post claims that the internet will shut down forever tomorrow. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A secret insider secretly proves that a famous politician is secretly a robot,"A secret insider secretly proves that a famous politician is secretly a robot. Doctors don't want you to know this one simple trick. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A viral WhatsApp message claims that a celebrity secretly died years ago,"A viral WhatsApp message claims that a celebrity secretly died years ago. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A viral WhatsApp message warns everyone that a celebrity secretly died years ago,"A viral WhatsApp message warns everyone that a celebrity secretly died years ago. Wake up people, mainstream media won't tell you this! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A trending Facebook post reveals the shocking truth that eating garlic prevents all viruses,"A trending Facebook post reveals the shocking truth that eating garlic prevents all viruses. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A trending Facebook post shows undeniable evidence that a magic fruit cures cancer instantly,"A trending Facebook post shows undeniable evidence that a magic fruit cures cancer instantly. Wake up people, mainstream media won't tell you this! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A miracle cure rumor reveals the shocking truth that banks will seize everyone's savings overnight,"A miracle cure rumor reveals the shocking truth that banks will seize everyone's savings overnight. Forward to everyone you know right now. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
An anonymous online post claims that 5G towers are controlling people's minds,"An anonymous online post claims that 5G towers are controlling people's minds. This message has already been shared a million times. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
An unnamed source secretly proves that drinking hot water cures all diseases,"An unnamed source secretly proves that drinking hot water cures all diseases. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
An anonymous online post shows undeniable evidence that a famous politician is secretly a robot,"An anonymous online post shows undeniable evidence that a famous politician is secretly a robot. Doctors don't want you to know this one simple trick. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A miracle cure rumor claims that a magic fruit cures cancer instantly,"A miracle cure rumor claims that a magic fruit cures cancer instantly. This message has already been shared a million times. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A secret insider reveals the shocking truth that a doomsday asteroid will hit earth next week,"A secret insider reveals the shocking truth that a doomsday asteroid will hit earth next week. No official source has confirmed this, but people believe it anyway. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A viral WhatsApp message insists without any proof that vaccines contain tracking chips,"A viral WhatsApp message insists without any proof that vaccines contain tracking chips. Doctors don't want you to know this one simple trick. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
An unnamed source exposes how a famous politician is secretly a robot,"An unnamed source exposes how a famous politician is secretly a robot. You won't believe what happens next. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A shocking new claim insists without any proof that banks will seize everyone's savings overnight,"A shocking new claim insists without any proof that banks will seize everyone's savings overnight. Forward to everyone you know right now. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A miracle cure rumor spreads the rumor that vaccines contain tracking chips,"A miracle cure rumor spreads the rumor that vaccines contain tracking chips. This message has already been shared a million times. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A miracle cure rumor shows undeniable evidence that a magic fruit cures cancer instantly,"A miracle cure rumor shows undeniable evidence that a magic fruit cures cancer instantly. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
An anonymous online post shows undeniable evidence that vaccines contain tracking chips,"An anonymous online post shows undeniable evidence that vaccines contain tracking chips. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A trending Facebook post insists without any proof that a magic fruit cures cancer instantly,"A trending Facebook post insists without any proof that a magic fruit cures cancer instantly. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A trending Facebook post exposes how banks will seize everyone's savings overnight,"A trending Facebook post exposes how banks will seize everyone's savings overnight. You won't believe what happens next. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
Unverified social media reports exposes how 5G towers are controlling people's minds,"Unverified social media reports exposes how 5G towers are controlling people's minds. No official source has confirmed this, but people believe it anyway. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A mysterious leaked document shows undeniable evidence that a doomsday asteroid will hit earth next week,"A mysterious leaked document shows undeniable evidence that a doomsday asteroid will hit earth next week. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
A bizarre conspiracy theory secretly proves that drinking hot water cures all diseases,"A bizarre conspiracy theory secretly proves that drinking hot water cures all diseases. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",news,2024-01-01
