text,label
"The state government began an investigation into employment statistics The state government began an investigation into employment statistics, in a statement published on the official website. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The stock exchange regulator held a press conference regarding employment statistics The stock exchange regulator held a press conference regarding employment statistics, based on documents reviewed by reporters. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"Local police officials clarified the rules around digital payment regulations Local police officials clarified the rules around digital payment regulations, as confirmed by department spokespersons. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"Unverified social media reports shows undeniable evidence that a doomsday asteroid will hit earth next week Unverified social media reports shows undeniable evidence that a doomsday asteroid will hit earth next week. You won't believe what happens next. Experts have not verified this claim, but it continues to spread rapidly online.",1
"The Reserve Bank of India began an investigation into public healthcare spending The Reserve Bank of India began an investigation into public healthcare spending, based on documents reviewed by reporters. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The weather department announced a new policy on infrastructure development The weather department announced a new policy on infrastructure development, following a review by an independent committee. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The central government published new data on urban housing projects The central government published new data on urban housing projects, according to an official statement released on Monday. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"A miracle cure rumor warns everyone that drinking hot water cures all diseases A miracle cure rumor warns everyone that drinking hot water cures all diseases. Forward to everyone you know right now. Experts have not verified this claim, but it continues to spread rapidly online.",1
"A viral WhatsApp message secretly proves that drinking hot water cures all diseases A viral WhatsApp message secretly proves that drinking hot water cures all diseases. You won't believe what happens next. Experts have not verified this claim, but it continues to spread rapidly online.",1
"The state government announced a new policy on employment statistics The state government announced a new policy on employment statistics, citing verified government records. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The United Nations reported a change in election voter lists The United Nations reported a change in election voter lists, citing verified government records. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"A mysterious leaked document secretly proves that drinking hot water cures all diseases A mysterious leaked document secretly proves that drinking hot water cures all diseases. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",1
"The Reserve Bank of India approved a budget allocation for air quality monitoring The Reserve Bank of India approved a budget allocation for air quality monitoring, citing verified government records. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"An anonymous online post shows undeniable evidence that vaccines contain tracking chips An anonymous online post shows undeniable evidence that vaccines contain tracking chips. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",1
"The World Health Organization issued official guidelines for infrastructure development The World Health Organization issued official guidelines for infrastructure development, as stated in the official press release. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The United Nations held a press conference regarding road safety measures The United Nations held a press conference regarding road safety measures, as stated in the official press release. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The railway ministry confirmed an update to tax filing deadlines The railway ministry confirmed an update to tax filing deadlines, based on documents reviewed by reporters. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The Ministry of Health began an investigation into vaccination drives The Ministry of Health began an investigation into vaccination drives, as reported by multiple credited news agencies. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"An unnamed source warns everyone that a celebrity secretly died years ago An unnamed source warns everyone that a celebrity secretly died years ago. Wake up people, mainstream media won't tell you this! Experts have not verified this claim, but it continues to spread rapidly online.",1
"The central government issued official guidelines for air quality monitoring The central government issued official guidelines for air quality monitoring, as confirmed by department spokespersons. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"Unverified social media reports shows undeniable evidence that the internet will shut down forever tomorrow Unverified social media reports shows undeniable evidence that the internet will shut down forever tomorrow. Forward to everyone you know right now. Experts have not verified this claim, but it continues to spread rapidly online.",1
"A bizarre conspiracy theory spreads the rumor that a magic fruit cures cancer instantly A bizarre conspiracy theory spreads the rumor that a magic fruit cures cancer instantly. No official source has confirmed this, but people believe it anyway. Experts have not verified this claim, but it continues to spread rapidly online.",1
"The weather department held a press conference regarding road safety measures The weather department held a press conference regarding road safety measures, as confirmed by department spokespersons. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The weather department released its quarterly report on air quality monitoring The weather department released its quarterly report on air quality monitoring, based on documents reviewed by reporters. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"A bizarre conspiracy theory insists without any proof that drinking hot water cures all diseases A bizarre conspiracy theory insists without any proof that drinking hot water cures all diseases. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",1
"A shocking new claim insists without any proof that banks will seize everyone's savings overnight A shocking new claim insists without any proof that banks will seize everyone's savings overnight. Forward to everyone you know right now. Experts have not verified this claim, but it continues to spread rapidly online.",1
"The United Nations scheduled a meeting to discuss tax filing deadlines The United Nations scheduled a meeting to discuss tax filing deadlines, as confirmed by department spokespersons. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The city municipal corporation signed an agreement concerning urban housing projects The city municipal corporation signed an agreement concerning urban housing projects, in a statement published on the official website. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The education department announced a new policy on employment statistics The education department announced a new policy on employment statistics, based on documents reviewed by reporters. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The weather department confirmed an update to vaccination drives The weather department confirmed an update to vaccination drives, citing verified government records. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"A miracle cure rumor insists without any proof that vaccines contain tracking chips A miracle cure rumor insists without any proof that vaccines contain tracking chips. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",1
"The Ministry of Health began an investigation into road safety measures The Ministry of Health began an investigation into road safety measures, citing verified government records. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"A trending Facebook post shows undeniable evidence that a magic fruit cures cancer instantly A trending Facebook post shows undeniable evidence that a magic fruit cures cancer instantly. Wake up people, mainstream media won't tell you this! Experts have not verified this claim, but it continues to spread rapidly online.",1
"A shocking new claim spreads the rumor that banks will seize everyone's savings overnight A shocking new claim spreads the rumor that banks will seize everyone's savings overnight. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",1
"The state government released its quarterly report on public healthcare spending The state government released its quarterly report on public healthcare spending, following a review by an independent committee. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"An anonymous online post spreads the rumor that drinking hot water cures all diseases An anonymous online post spreads the rumor that drinking hot water cures all diseases. You won't believe what happens next. Experts have not verified this claim, but it continues to spread rapidly online.",1
"A trending Facebook post insists without any proof that a doomsday asteroid will hit earth next week A trending Facebook post insists without any proof that a doomsday asteroid will hit earth next week. You won't believe what happens next. Experts have not verified this claim, but it continues to spread rapidly online.",1
"A bizarre conspiracy theory spreads the rumor that 5G towers are controlling people's minds A bizarre conspiracy theory spreads the rumor that 5G towers are controlling people's minds. Wake up people, mainstream media won't tell you this! Experts have not verified this claim, but it continues to spread rapidly online.",1
"A trending Facebook post insists without any proof that a magic fruit cures cancer instantly A trending Facebook post insists without any proof that a magic fruit cures cancer instantly. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",1
"A mysterious leaked document claims that eating garlic prevents all viruses A mysterious leaked document claims that eating garlic prevents all viruses. Doctors don't want you to know this one simple trick. Experts have not verified this claim, but it continues to spread rapidly online.",1
"A secret insider exposes how a famous politician is secretly a robot A secret insider exposes how a famous politician is secretly a robot. Doctors don't want you to know this one simple trick. Experts have not verified this claim, but it continues to spread rapidly online.",1
"A shocking new claim claims that the moon landing was staged in a studio A shocking new claim claims that the moon landing was staged in a studio. You won't believe what happens next. Experts have not verified this claim, but it continues to spread rapidly online.",1
"The central government published new data on railway ticket pricing The central government published new data on railway ticket pricing, as confirmed by department spokespersons. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"A mysterious leaked document shows undeniable evidence that drinking hot water cures all diseases A mysterious leaked document shows undeniable evidence that drinking hot water cures all diseases. This has been hidden from the public for years. Experts have not verified this claim, but it continues to spread rapidly online.",1
"A miracle cure rumor spreads the rumor that 5G towers are controlling people's minds A miracle cure rumor spreads the rumor that 5G towers are controlling people's minds. Share this before it gets deleted!!! Experts have not verified this claim, but it continues to spread rapidly online.",1
"A mysterious leaked document claims that the government is hiding aliens A mysterious leaked document claims that the government is hiding aliens. Forward to everyone you know right now. Experts have not verified this claim, but it continues to spread rapidly online.",1
"The Ministry of Health scheduled a meeting to discuss public healthcare spending The Ministry of Health scheduled a meeting to discuss public healthcare spending, in a statement published on the official website. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The Supreme Court issued official guidelines for road safety measures The Supreme Court issued official guidelines for road safety measures, in a statement published on the official website. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"A viral WhatsApp message shows undeniable evidence that the internet will shut down forever tomorrow A viral WhatsApp message shows undeniable evidence that the internet will shut down forever tomorrow. Forward to everyone you know right now. Experts have not verified this claim, but it continues to spread rapidly online.",1
"The railway ministry published new data on interest rates The railway ministry published new data on interest rates, according to an official statement released on Monday. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
"The finance ministry held a press conference regarding vaccination drives The finance ministry held a press conference regarding vaccination drives, as reported by multiple credited news agencies. Officials said the decision follows months of review and public consultation, and further details will be shared in the coming weeks through official channels.",0
